titulo,bajada,cuerpo,nombre_medio,tipo_medio,fecha,seccion,sentiment
Un detenido por receptación de vehículo robado,,"Fue devuelto a su legítimo dueño en Pichilemu En la intersección de calle Duco con 12 de Febrero, Carabineros de Los Andes logró la recuperación de un automóvil sustraído el pasado mes de diciembre Pág. 9",El Trabajo,3,2025-01-13,N/A,0.4134615384615383
PASS: 24 estudiantes de la zona lograron resultado destacado,,"Educación. Autoridad felicitó el notable rendimiento de jóvenes de colegios de Valparaíso, Viña, Casablanca y Los Andes. Más de 23 mil alumnos habilitados para acceder a la educación superior. Hubo alza en Matemáticas y Ciencias. Pág. 4",El Mercurio,3,2025-01-07,N/A,0.48525564803804916
Pérdidas totales en casona tras voraz incendio,,Bomberos batallaron el fuego durante horas Condiciones del terreno y alto material combustible hizo que las llamas se descontrolaran rápidamente en vivienda del sector de General del Canto en Los Andes Pág. 9,El Trabajo,3,2024-12-27,N/A,0.7880048488141077
Morosos son 404 mil y deuda promedio es casi $2 millones,,"Región. Viña del Mar concentra el mayor monto en mora con US$ 174 millones en los compromisos impagos acumulados. La Calera, Los Andes y Nogales tienen las tasas de deuda más altas, en tanto débitos en Rapa Nui llegan a media de $ 3 millones. Expertos reconocen baja leve de las cifras, pero dicen que no se debe a capacidad de pago, sino a exigencias de créditos. Pág. 4",El Mercurio,3,2024-12-26,N/A,0.6656826428309542
Realizan ‘lucatón’ en ayuda de niño mordido por perro,,"Ya fue sometido a una cirujía reconstructiva En Los Andes buscan aportar con la reuperación de un menor de 7 años, el que fue atacado por un can 'akita', que le dejó diversas lesiones en el rostro Pág. 5",El Trabajo,3,2024-12-23,N/A,0.40357642777155633
"Abogados del Presidente no logran despejar dudas sobre ""pesquisa"" de la denuncia y fiscalía indaga acceso a nivel interno o mediante policías",,"Hasta ahora es la principal línea investigativa: Representante legal del mandatario defiende su método para seguimiento de causas con el RUT —'hoy se deshabilitó', asegura—, pero penalistas se dividen sobre el procedimiento. El jefe de Estado se refiere por primera vez a la acusación en su contra que dio a conocer la noche del lunes. En su intervención, de menos de un minuto, respalda la vocería que generó polémica. Debilidad de la imputación Arista sobre eventual difusión de imágenes privadas por parte del gobernante pierde fuerza, según investigadores. Matthei llama a no politizar el caso 'Me parece que hay que ser extraordinariamente rigurosos, cuidadosos y prudentes con este tipo de acusaciones', afirma. Editorial: > 'Dejar por demasiado tiempo abierto un proceso contra el primer mandatario que no tenga destino genera un injustificado dallo a la figura presidencial'. Una referencia de poco más de 30 segundos, contra 53 minutos; apegado a los apuntes, en vez de improvisar; sin aceptar preguntas de la prensa esta vez, en contraste con más de 30 interrogantes respondidas, son algunas diferencias en la estrategia comunicacional del Presidente Boric para abordar ayer en Colina la denuncia en su contra en comparación a lo hecho en Lampa el 18 de octubre respecto de la presentada contra el exsubsecretario Monsalve. 'Hoy día estoy aquí para preocuparnos de lo que realmente les importa a los chilenos y las chilenas', sostuvo el jefe de Estado OTROS INTEGRANTES DEL COMITÉ POLÍTICO RESPONDEN POR ACUSACIÓN, MIENTRAS LA MINISTRA DE LA MUJER CONTINÚA EN SILENCIO C0 a C3 y A3",El Mercurio,3,2024-11-29,N/A,0.999219890827288
En prisión quedaron cuatro ex carabineros del OS7 de San Felipe 7,,Motorista murió en la autopista entre Quillota y La Cruz 3 Camionero falleció en la cuesta Caracoles en Los Andes 4 Deportes Limache juega esta noche el partido más importante de su historia 9,El Observador Quillota - Aconcagua,3,2024-11-26,N/A,0.19776609724047273
De baja 6 carabineros del OS7 Aconcagua por drogas y otros delitos,,"Eran investigados desde principios de año Los funcionarios fueron detenidos por sus propios colegas provenientes de otras ciudades del país, allanando dependencias en San Felipe y Los Andes Pág. 9",El Trabajo,3,2024-11-22,N/A,0.8017573939134159
Murió acribillado frente a su familia en Lo Vásquez 3,,"Joven conductora chocó contra barreras de la Autopista Los Andes 3 Museo La Ligua ofrece domo planetario, exposiciones y actividades al aire libre 4 Implementan sistema autónomo de riego para frutales, hortalizas y cultivos 11",El Observador Quillota - Aconcagua,3,2024-10-08,N/A,0.5374999999999999
Recuperan 6 de los 18 vehículos robados en Stgo.,,"Recobrados por Carabineros tras robo a una automotora el domingo recién pasado en la Región Metropolitana, a través del método popularmente conocido como 'turbazo' Pág. 9 La mayoría en la provincia de Los Andes",El Trabajo,3,2024-07-10,N/A,0.5374999999999995
